name	sample_id	aliquot_id
RNAseq_wf_TCGA-ZF-AA54-01A-11R-A39I-07	TCGA-ZF-AA54-01A	TCGA-ZF-AA54-01A-11R-A39I-07
RNAseq_wf_TCGA-ZF-AA5P-01A-11R-A39I-07	TCGA-ZF-AA5P-01A	TCGA-ZF-AA5P-01A-11R-A39I-07
RNAseq_wf_TCGA-XX-A899-01A-11R-A36F-07	TCGA-XX-A899-01A	TCGA-XX-A899-01A-11R-A36F-07
RNAseq_wf_TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-Z7-A8R5-01A	TCGA-Z7-A8R5-01A-42R-A41B-07
RNAseq_wf_TCGA-Z7-A8R6-01A-11R-A41B-07	TCGA-Z7-A8R6-01A	TCGA-Z7-A8R6-01A-11R-A41B-07
RNAseq_wf_TCGA-QL-A97D-01A-12R-A41B-07	TCGA-QL-A97D-01A	TCGA-QL-A97D-01A-12R-A41B-07
RNAseq_wf_TCGA-RU-A8FL-01A-11R-A37K-07	TCGA-RU-A8FL-01A	TCGA-RU-A8FL-01A-11R-A37K-07
RNAseq_wf_TCGA-T9-A92H-01A-11R-A37K-07	TCGA-T9-A92H-01A	TCGA-T9-A92H-01A-11R-A37K-07
RNAseq_wf_TCGA-Z6-A8JD-01A-11R-A36D-31	TCGA-Z6-A8JD-01A	TCGA-Z6-A8JD-01A-11R-A36D-31
RNAseq_wf_TCGA-Z6-A8JE-01A-11R-A37I-31	TCGA-Z6-A8JE-01A	TCGA-Z6-A8JE-01A-11R-A37I-31
RNAseq_wf_TCGA-Z6-A9VB-01A-21R-A37I-31	TCGA-Z6-A9VB-01A	TCGA-Z6-A9VB-01A-21R-A37I-31
RNAseq_wf_TCGA-Z6-AAPN-01A-11R-A406-31	TCGA-Z6-AAPN-01A	TCGA-Z6-AAPN-01A-11R-A406-31
RNAseq_wf_TCGA-76-4932-01A-01R-1850-01	TCGA-76-4932-01A	TCGA-76-4932-01A-01R-1850-01
RNAseq_wf_TCGA-O2-A52V-01A-31R-A262-07	TCGA-O2-A52V-01A	TCGA-O2-A52V-01A-31R-A262-07
RNAseq_wf_TCGA-O2-A5IB-01A-11R-A27Q-07	TCGA-O2-A5IB-01A	TCGA-O2-A5IB-01A-11R-A27Q-07
RNAseq_wf_TCGA-XC-AA0X-01A-32R-A405-07	TCGA-XC-AA0X-01A	TCGA-XC-AA0X-01A-32R-A405-07
RNAseq_wf_TCGA-61-2113-01A-01R-1568-13	TCGA-61-2113-01A	TCGA-61-2113-01A-01R-1568-13
RNAseq_wf_TCGA-OY-A56Q-01A-11R-A406-31	TCGA-OY-A56Q-01A	TCGA-OY-A56Q-01A-11R-A406-31
RNAseq_wf_TCGA-WR-A838-01A-12R-A406-31	TCGA-WR-A838-01A	TCGA-WR-A838-01A-12R-A406-31
RNAseq_wf_TCGA-ZG-A9M4-01A-11R-A41O-07	TCGA-ZG-A9M4-01A	TCGA-ZG-A9M4-01A-11R-A41O-07
RNAseq_wf_TCGA-ZG-A9MC-01A-31R-A41O-07	TCGA-ZG-A9MC-01A	TCGA-ZG-A9MC-01A-31R-A41O-07
RNAseq_wf_TCGA-ZG-A9N3-01A-11R-A41O-07	TCGA-ZG-A9N3-01A	TCGA-ZG-A9N3-01A-11R-A41O-07
RNAseq_wf_TCGA-ZG-A9NI-01A-11R-A41O-07	TCGA-ZG-A9NI-01A	TCGA-ZG-A9NI-01A-11R-A41O-07
RNAseq_wf_TCGA-X9-A973-01A-11R-A38C-07	TCGA-X9-A973-01A	TCGA-X9-A973-01A-11R-A38C-07
RNAseq_wf_TCGA-Z4-A9VC-01A-11R-A37L-07	TCGA-Z4-A9VC-01A	TCGA-Z4-A9VC-01A-11R-A37L-07
RNAseq_wf_TCGA-Z4-AAPF-01A-11R-A39D-07	TCGA-Z4-AAPF-01A	TCGA-Z4-AAPF-01A-11R-A39D-07
RNAseq_wf_TCGA-Z4-AAPG-01A-11R-A39D-07	TCGA-Z4-AAPG-01A	TCGA-Z4-AAPG-01A-11R-A39D-07
RNAseq_wf_TCGA-YD-A9TB-06A-12R-A40A-07	TCGA-YD-A9TB-06A	TCGA-YD-A9TB-06A-12R-A40A-07
RNAseq_wf_TCGA-Z2-AA3S-06A-11R-A39D-07	TCGA-Z2-AA3S-06A	TCGA-Z2-AA3S-06A-11R-A39D-07
RNAseq_wf_TCGA-Z2-AA3V-06A-11R-A39D-07	TCGA-Z2-AA3V-06A	TCGA-Z2-AA3V-06A-11R-A39D-07
