"Fused_Genes"	"Model"
"1"	"ABL1--BCR"	"ALL-04"
"2"	"ABL1--BCR"	"ALL-55"
"3"	"ABL1--BCR"	"ALL-56"
"4"	"AFF1--KMT2A"	"MLL-86"
"5"	"AFF1--KMT2A"	"MLL-7"
"6"	"ASPSCR1--TFE3"	"ASPS-KY"
"7"	"ASPSCR1--TFE3"	"NCI-ASPS"
"8"	"ATF7IP--JAK2"	"ALL-117"
"9"	"BCR--ABL1"	"ALL-56"
"10"	"BCR--ABL1"	"ALL-04"
"11"	"BCR--JAK2"	"PAKYEP"
"12"	"BCR--ABL1"	"ALL-55"
"13"	"CXCR4--TCF3"	"ALL-75"
"14"	"DPRX--TTYH1"	"IBs-2373PNET"
"15"	"ETV6--RUNX1"	"ALL-11"
"16"	"ETV6--RUNX1"	"ALL-123"
"17"	"ETV6--RUNX1"	"ALL-26"
"18"	"ETV6--RUNX1"	"ALL-53"
"19"	"ETV6--RUNX1"	"ALL-58"
"20"	"ETV6--RUNX1"	"ALL-82"
"21"	"ETV6--RUNX1"	"ALL-83"
"22"	"ETV6--RUNX1"	"ALL-87"
"23"	"EWSR1--FLI1"	"ES-1"
"24"	"EWSR1--FLI1"	"ES-4"
"25"	"EWSR1--FLI1"	"ES-6"
"26"	"EWSR1--FLI1"	"EW-5"
"27"	"EWSR1--FLI1"	"EW-8"
"28"	"EWSR1--FLI1"	"SK-NEP-1"
"29"	"EWSR1--FLI1"	"ES-8"
"30"	"EWSR1--FLI1"	"TC-71"
"31"	"FLI1--EWSR1"	"EW-5"
"32"	"IKZF1--COBL"	"ALL-93"
"33"	"JAK2--RP11-260O18.1"	"PAKYEP"
"34"	"JAK2--PAX5"	"ALL-116"
"35"	"JAK2--PAX5"	"ALL-118"
"36"	"JAK2--PAX5"	"ALL-88"
"37"	"JAK2--ATF7IP"	"ALL-117"
"38"	"JAK2--INSL4"	"ALL-118"
"39"	"KMT2A--AFF1"	"MLL-2"
"40"	"KMT2A--AFF1"	"MLL-7"
"41"	"KMT2A--AFF1"	"MLL-86"
"42"	"KMT2A--MLLT1"	"MLL-8"
"43"	"KMT2A--PTPRC"	"MLL-7"
"44"	"KMT2A--MLLT1"	"MLL-14"
"45"	"KMT2A--EPS15"	"MLL-1"
"46"	"KMT2A--GAS7"	"MLL-3"
"47"	"KMT2A--MLLT1"	"ALL-03"
"48"	"LMAN2--PTMA"	"ETP-3"
"49"	"LMO1--TRAC"	"ALL-47"
"50"	"LMO1--TRBC2"	"ALL-31"
"51"	"LMO1--TRBC2"	"ALL-80"
"52"	"LMO1--TRBC2"	"ALL-81"
"53"	"MACF1--TP53"	"OS-49-SJ"
"54"	"MAP4--RB1"	"OS-1"
"55"	"NFIA--CBFA2T3"	"IC-9320GCT"
"56"	"NUP214--ABL1"	"ALL-32"
"57"	"NUP214--ABL1"	"ALL-90"
"58"	"NUP214--ABL1"	"ALL-19"
"59"	"PAX3--FOXO1"	"Rh-65"
"60"	"PAX3--FOXO1"	"Rh-10"
"61"	"PAX3--FOXO1"	"Rh-30R"
"62"	"PAX3--FOXO1"	"Rh-41"
"63"	"PAX3--FOXO1"	"NCH-ARMS-2-NCH-S13-7484"
"64"	"PAX3--FOXO1"	"Rh-30"
"65"	"PAX5--AUTS2"	"ALL-75"
"66"	"PAX5--C20orf112"	"ALL-95"
"67"	"PAX5--JAK2"	"ALL-116"
"68"	"PAX5--AUTS2"	"ALL-51"
"69"	"PAX5--JAK2"	"ALL-118"
"70"	"PAX5--JAK2"	"ALL-88"
"71"	"PAX5--RP11-465M18.1"	"ALL-25"
"72"	"PTEN--DGKB"	"OS-33"
"73"	"RB1--MAP4"	"OS-1"
"74"	"RB1--DLEU1"	"OS-60"
"75"	"RP11-9L18.2--FLI1"	"CHLA-258"
"76"	"RUNX1--ETV6"	"ALL-123"
"77"	"RUNX1--ETV6"	"ALL-58"
"78"	"RUNX1--ETV6"	"ALL-82"
"79"	"RUNX1--ETV6"	"ALL-83"
"80"	"RUNX1--ETV6"	"ALL-87"
"81"	"TAL1--TRBC2"	"ALL-97"
"82"	"TCF3--HLF"	"ALL-07"
"83"	"TCF3--PBX1"	"ALL-25"
"84"	"TCF3--PBX1"	"ALL-57"
"85"	"TCF3--PBX1"	"ALL-61"
"86"	"TFE3--ASPSCR1"	"NCI-ASPS"
"87"	"TP53--CLIC5"	"OS-31"
"88"	"TP53--HPCA"	"OS-49-SJ"
"89"	"TP53--RNF111"	"OS-48"
"90"	"TP53--RP11-770G2.2"	"OS-34"
"91"	"TP53--RP11-770G2.2"	"OS-34-SJ"
"92"	"TP53--TNR"	"OS-32"
"93"	"TTYH1--DPRX"	"IBs-2373PNET"
"94"	"TTYH1--LAIR1"	"IBs-2373PNET"
"95"	"ZFP91--DLG2"	"OS-55-SBX"
